id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
20984,3412,297,17,,1,1,2024-06-11 01:14:54+00,,
20985,3416,139,18,7,2,0,2024-06-11 01:15:04+00,,
20986,3415,648,18,7,2,0,2024-06-11 01:15:13+00,,
20987,3416,633,18,7,1,1,2024-06-11 01:15:20+00,,
20988,3409,135,18,7,1,0,2024-06-11 01:15:21+00,,
20989,3415,633,18,7,1,0,2024-06-11 01:15:26+00,,
20990,3416,648,18,7,2,1,2024-06-11 01:15:35+00,,
20991,3407,668,7,2,1,0,2024-06-11 01:15:36+00,,
20992,3407,786,7,2,1,0,2024-06-11 01:15:40+00,,
20993,3407,118,7,2,1,1,2024-06-11 01:15:43+00,,
20994,3416,634,18,7,3,1,2024-06-11 01:15:44+00,,
20995,3415,125,18,7,1,0,2024-06-11 01:15:44+00,,
20996,3418,125,18,7,1,0,2024-06-11 01:15:45+00,,
20997,3407,801,7,2,2,0,2024-06-11 01:15:47+00,,
20998,3407,795,7,2,1,0,2024-06-11 01:15:50+00,,
20999,3409,1525,7,2,1,0,2024-06-11 01:16:31+00,,
21000,3412,492,17,,2,1,2024-06-11 01:16:44+00,,
21001,3418,633,18,7,1,1,2024-06-11 01:16:51+00,,
21002,3409,665,7,2,1,1,2024-06-11 01:16:54+00,,
21003,3409,690,7,2,2,0,2024-06-11 01:17:10+00,,
21004,3409,793,7,2,1,1,2024-06-11 01:17:39+00,,
21005,3409,1556,7,2,2,0,2024-06-11 01:17:50+00,,
21006,3416,666,7,2,1,1,2024-06-11 01:17:56+00,,
21007,3416,690,7,2,2,0,2024-06-11 01:18:17+00,,
21008,3413,1525,7,2,1,1,2024-06-11 01:18:35+00,,
21009,3413,1554,7,2,2,0,2024-06-11 01:18:50+00,,
21010,3412,303,17,,3,1,2024-06-11 01:19:11+00,,
21011,3416,665,7,2,1,1,2024-06-11 01:19:27+00,,
21012,3418,139,18,7,2,1,2024-06-11 01:19:31+00,,
21013,3411,666,7,2,1,0,2024-06-11 01:19:38+00,,
21014,3418,634,18,7,3,0,2024-06-11 01:19:39+00,,
21015,3418,648,18,7,2,0,2024-06-11 01:19:43+00,,
21016,3413,1548,7,2,1,0,2024-06-11 01:19:55+00,,
21017,3412,771,17,,4,1,2024-06-11 01:20:00+00,,
21018,3413,1536,7,2,1,0,2024-06-11 01:20:01+00,,
21019,3413,1537,7,2,1,0,2024-06-11 01:20:04+00,,
21020,3419,761,17,,1,1,2024-06-11 01:20:16+00,,
21021,3411,665,7,2,1,1,2024-06-11 01:20:20+00,,
21022,3413,1529,7,2,1,1,2024-06-11 01:20:36+00,,
21023,3411,690,7,2,2,0,2024-06-11 01:20:40+00,,
21024,3417,248,18,9,1,0,2024-06-11 01:20:40+00,,
21025,3413,1527,7,2,2,0,2024-06-11 01:20:42+00,,
21026,3409,666,7,2,1,0,2024-06-11 01:20:44+00,,
21027,3417,237,18,9,1,-1,2024-06-11 01:20:45+00,,
21028,3412,774,17,,5,0,2024-06-11 01:20:45+00,,
21029,3413,665,7,2,1,0,2024-06-11 01:20:47+00,,
21030,3417,235,18,9,1,0,2024-06-11 01:20:48+00,,
21031,3413,793,7,2,1,0,2024-06-11 01:20:51+00,,
21032,3409,668,7,2,1,1,2024-06-11 01:20:53+00,,
21033,3417,915,18,9,1,0,2024-06-11 01:20:54+00,,
21034,3413,666,7,2,1,1,2024-06-11 01:20:56+00,,
21035,3416,1556,7,2,2,0,2024-06-11 01:20:58+00,,
21036,3409,799,7,2,2,0,2024-06-11 01:21:10+00,,
21037,3411,793,7,2,1,1,2024-06-11 01:21:28+00,,
21038,3409,786,7,2,1,0,2024-06-11 01:21:28+00,,
21039,3412,135,18,7,1,0,2024-06-11 01:21:34+00,,
21040,3412,633,18,7,1,0,2024-06-11 01:21:39+00,,
21041,3412,125,18,7,1,0,2024-06-11 01:21:44+00,,
21042,3412,639,18,7,1,0,2024-06-11 01:21:49+00,,
21043,3409,118,7,2,1,0,2024-06-11 01:21:50+00,,
21044,3412,646,18,7,1,1,2024-06-11 01:21:52+00,,
21045,3416,793,7,2,1,1,2024-06-11 01:22:31+00,,
21046,3412,1548,7,2,1,0,2024-06-11 01:22:51+00,,
21047,3412,665,7,2,1,0,2024-06-11 01:22:55+00,,
21048,3411,1556,7,2,2,1,2024-06-11 01:22:59+00,,
21049,3412,793,7,2,1,0,2024-06-11 01:23:00+00,,
21050,3412,666,7,2,1,0,2024-06-11 01:23:03+00,,
21051,3412,668,7,2,1,0,2024-06-11 01:23:07+00,,
21052,3412,786,7,2,1,0,2024-06-11 01:23:32+00,,
21053,3417,961,18,9,1,0,2024-06-11 01:23:45+00,,
21054,3412,118,7,2,1,0,2024-06-11 01:24:20+00,,
21055,3412,665,7,2,1,0,2024-06-11 01:24:24+00,,
21056,3412,793,7,2,1,0,2024-06-11 01:24:34+00,,
21057,3412,666,7,2,1,0,2024-06-11 01:24:39+00,,
21058,3412,139,18,7,2,0,2024-06-11 01:25:01+00,,
21059,3412,647,18,7,1,1,2024-06-11 01:25:03+00,,
21060,3412,648,18,7,2,0,2024-06-11 01:25:07+00,,
21061,3412,645,18,7,1,0,2024-06-11 01:25:10+00,,
21062,3412,131,18,7,1,0,2024-06-11 01:25:14+00,,
21063,3419,646,18,7,1,-1,2024-06-11 01:25:20+00,,
21064,3417,187,14,,1,1,2024-06-11 01:25:38+00,,
21065,3419,633,18,7,1,-1,2024-06-11 01:25:39+00,,
21066,3417,80,14,,2,1,2024-06-11 01:26:49+00,,
21067,3419,125,18,7,1,-1,2024-06-11 01:26:51+00,,
21068,3419,639,18,7,1,-1,2024-06-11 01:26:55+00,,
21069,3419,135,18,7,1,0,2024-06-11 01:27:14+00,,
21070,3417,194,14,,3,0,2024-06-11 01:27:24+00,,
21071,3417,202,14,,2,0,2024-06-11 01:28:16+00,,
21072,3417,178,14,,1,1,2024-06-11 01:30:31+00,,
21073,3421,131,18,7,1,0,2024-06-11 03:58:13+00,,
21074,3421,633,18,7,1,1,2024-06-11 03:58:16+00,,
21075,3421,139,18,7,2,0,2024-06-11 03:58:23+00,,
21076,3421,125,18,7,1,0,2024-06-11 03:58:27+00,,
21077,3421,639,18,7,1,0,2024-06-11 03:58:30+00,,
21078,3426,773,17,,1,-1,2024-06-11 03:59:05+00,,
21079,3426,760,17,,1,1,2024-06-11 03:59:13+00,,
21080,3426,492,17,,2,0,2024-06-11 03:59:17+00,,
21081,3421,135,18,7,1,0,2024-06-11 03:59:19+00,,
21082,3421,646,18,7,1,0,2024-06-11 03:59:21+00,,
21083,3426,761,17,,1,1,2024-06-11 03:59:23+00,,
21084,3420,346,10,,1,0,2024-06-11 03:59:24+00,,
21085,3421,647,18,7,1,0,2024-06-11 03:59:24+00,,
21086,3426,486,17,,2,0,2024-06-11 03:59:26+00,,
21087,3421,645,18,7,1,0,2024-06-11 03:59:27+00,,
21088,3420,328,10,,1,0,2024-06-11 03:59:28+00,,
21089,3421,141,18,7,1,1,2024-06-11 03:59:30+00,,
21090,3420,337,10,,1,0,2024-06-11 03:59:31+00,,
21091,3420,1473,10,,1,0,2024-06-11 03:59:35+00,,
21092,3420,326,10,,1,0,2024-06-11 03:59:41+00,,
21093,3426,640,18,7,1,0,2024-06-11 04:00:02+00,,
21094,3426,633,18,7,1,0,2024-06-11 04:00:05+00,,
21095,3426,125,18,7,1,0,2024-06-11 04:00:10+00,,
21096,3426,639,18,7,1,1,2024-06-11 04:00:15+00,,
21097,3426,139,18,7,2,0,2024-06-11 04:00:19+00,,
21098,3420,805,12,12,1,0,2024-06-11 04:00:28+00,,
