id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
6806,1197,449,18,10,1,1,2020-01-08 08:02:13+00,,
6807,1197,451,18,10,2,0,2020-01-08 08:02:13+00,,
6808,1363,427,18,10,3,0,2020-01-08 08:02:49+00,,
6809,1163,785,18,11,3,0,2020-01-08 08:03:00+00,,
6810,1163,324,18,11,4,0,2020-01-08 08:03:00+00,,
6811,1163,277,18,11,3,0,2020-01-08 08:03:00+00,,
6812,1163,376,18,11,5,0,2020-01-08 08:03:00+00,,
6813,1163,323,18,11,3,1,2020-01-08 08:03:00+00,,
6814,1163,384,18,11,5,1,2020-01-08 08:03:00+00,,
6815,1163,443,18,11,5,0,2020-01-08 08:03:00+00,,
6816,1332,432,18,10,3,0,2020-01-08 08:03:41+00,,
6817,1332,448,18,10,3,1,2020-01-08 08:03:41+00,,
6818,1332,424,18,10,3,0,2020-01-08 08:03:41+00,,
6820,1332,440,18,10,1,-1,2020-01-08 08:03:41+00,,
6821,1332,446,18,10,1,1,2020-01-08 08:03:41+00,,
6822,1332,430,18,10,1,0,2020-01-08 08:03:41+00,,
6823,1273,431,18,10,4,1,2020-01-08 08:04:23+00,,
6824,1273,433,18,10,2,0,2020-01-08 08:04:23+00,,
6825,1273,454,18,10,4,1,2020-01-08 08:04:23+00,,
6826,1273,459,18,10,4,1,2020-01-08 08:04:23+00,,
6827,1273,434,18,10,3,0,2020-01-08 08:04:23+00,,
6828,1273,423,18,10,4,-1,2020-01-08 08:04:23+00,,
6829,1273,415,18,10,4,-1,2020-01-08 08:04:23+00,,
6830,1324,277,18,11,3,-1,2020-01-08 08:04:31+00,,
6831,1324,384,18,11,5,-1,2020-01-08 08:04:31+00,,
6832,1324,287,18,11,4,-1,2020-01-08 08:04:31+00,,
6833,1324,291,18,11,3,-1,2020-01-08 08:04:31+00,,
6834,1324,444,18,11,5,-1,2020-01-08 08:04:31+00,,
6835,1324,324,18,11,4,-1,2020-01-08 08:04:31+00,,
6836,1324,296,18,11,5,-1,2020-01-08 08:04:31+00,,
6837,634,384,18,11,5,-1,2020-01-08 08:09:00+00,,
6838,1140,287,18,11,4,0,2020-01-08 08:12:49+00,,
6839,1140,776,18,11,2,-1,2020-01-08 08:12:49+00,,
6840,1140,785,18,11,3,-1,2020-01-08 08:12:49+00,,
6841,1140,321,18,11,3,-1,2020-01-08 08:12:49+00,,
6842,1140,323,18,11,3,-1,2020-01-08 08:12:49+00,,
6843,1140,319,18,11,2,-1,2020-01-08 08:12:49+00,,
6844,1140,443,18,11,5,-1,2020-01-08 08:12:49+00,,
6845,1275,433,18,10,2,-1,2020-01-08 08:12:49+00,,
6846,1275,457,18,10,4,-1,2020-01-08 08:12:49+00,,
6847,1275,453,18,10,4,-1,2020-01-08 08:12:49+00,,
6848,1275,423,18,10,4,-1,2020-01-08 08:12:49+00,,
6849,1275,459,18,10,4,-1,2020-01-08 08:12:49+00,,
6850,1275,436,18,10,4,-1,2020-01-08 08:12:49+00,,
6851,1275,455,18,10,4,-1,2020-01-08 08:12:49+00,,
6852,1273,422,18,10,4,-1,2020-01-08 08:13:15+00,,
6853,1273,415,18,10,4,-1,2020-01-08 08:13:15+00,,
6854,1273,416,18,10,2,-1,2020-01-08 08:13:15+00,,
6855,1273,455,18,10,4,1,2020-01-08 08:13:15+00,,
6856,1273,417,18,10,2,-1,2020-01-08 08:13:15+00,,
6857,1273,431,18,10,4,0,2020-01-08 08:13:15+00,,
6858,1273,450,18,10,2,-1,2020-01-08 08:13:15+00,,
6859,1197,435,18,10,3,1,2020-01-08 08:16:19+00,,
6860,1197,416,18,10,2,0,2020-01-08 08:16:19+00,,
6861,1197,457,18,10,4,0,2020-01-08 08:16:19+00,,
6862,1197,422,18,10,4,0,2020-01-08 08:16:19+00,,
6863,1197,453,18,10,4,0,2020-01-08 08:16:19+00,,
6864,1197,450,18,10,2,0,2020-01-08 08:16:19+00,,
6865,1197,438,18,10,2,0,2020-01-08 08:16:19+00,,
6866,1322,376,18,11,5,0,2020-01-08 08:18:06+00,,
6867,1146,785,18,11,3,1,2020-01-08 08:19:43+00,,
6868,1146,776,18,11,2,1,2020-01-08 08:19:43+00,,
6869,1146,384,18,11,5,0,2020-01-08 08:19:43+00,,
6870,1146,296,18,11,5,0,2020-01-08 08:19:43+00,,
6871,1146,324,18,11,4,0,2020-01-08 08:19:43+00,,
6872,1146,383,18,11,3,0,2020-01-08 08:19:43+00,,
6873,1146,443,18,11,5,1,2020-01-08 08:19:43+00,,
6874,1256,444,18,11,5,0,2020-01-08 08:20:02+00,,
6875,1256,384,18,11,5,1,2020-01-08 08:20:02+00,,
6876,1256,379,18,11,2,0,2020-01-08 08:20:02+00,,
6877,1256,377,18,11,5,1,2020-01-08 08:20:02+00,,
6878,1256,296,18,11,5,1,2020-01-08 08:20:02+00,,
6879,1256,776,18,11,2,1,2020-01-08 08:20:02+00,,
6880,1256,325,18,11,3,0,2020-01-08 08:20:02+00,,
6881,1332,429,18,10,2,0,2020-01-08 08:25:40+00,,
6882,1332,415,18,10,4,0,2020-01-08 08:25:40+00,,
6883,1332,426,18,10,4,0,2020-01-08 08:25:40+00,,
6884,1332,438,18,10,2,0,2020-01-08 08:25:40+00,,
6885,1332,452,18,10,4,0,2020-01-08 08:25:40+00,,
6886,1332,416,18,10,2,0,2020-01-08 08:25:40+00,,
6887,1332,433,18,10,2,0,2020-01-08 08:25:40+00,,
6888,1339,378,18,11,5,0,2020-01-08 08:25:56+00,,
6889,1339,287,18,11,4,0,2020-01-08 08:25:56+00,,
6890,1339,383,18,11,3,1,2020-01-08 08:25:56+00,,
6891,1339,377,18,11,5,0,2020-01-08 08:25:56+00,,
6892,1339,324,18,11,4,0,2020-01-08 08:25:56+00,,
6893,1339,323,18,11,3,0,2020-01-08 08:25:56+00,,
6894,1339,321,18,11,3,0,2020-01-08 08:25:56+00,,
6895,1219,287,18,11,4,1,2020-01-08 08:26:32+00,,
