id,platformmaterialid,platformtopicid,platformsubtopicid
68,9,3,37
79,20,5,6
80,21,4,3
81,22,4,3
82,23,4,3
83,24,4,3
84,25,4,3
85,26,4,3
86,27,4,3
87,28,4,3
88,29,4,3
89,30,4,3
90,31,18,9
91,32,18,9
92,33,18,9
93,34,18,9
94,35,18,9
95,36,18,9
96,38,7,2
97,39,7,2
98,40,7,2
99,41,7,2
100,42,7,2
101,43,7,2
103,45,7,2
104,46,7,2
105,47,7,2
106,48,18,9
107,49,18,9
108,50,18,9
109,51,18,9
110,52,18,7
111,54,18,7
112,55,18,7
113,56,18,7
121,66,12,12
125,74,5,44
132,79,5,44
133,80,5,44
134,81,5,44
135,82,5,44
136,83,5,44
137,84,5,44
138,86,5,44
139,87,5,44
140,88,5,44
141,89,5,44
142,90,5,44
143,91,5,44
144,92,5,44
145,93,5,44
146,95,5,44
147,96,5,44
148,97,5,44
149,98,5,44
150,99,5,44
151,100,5,44
152,101,5,44
153,102,5,44
154,103,5,44
155,104,5,44
156,105,5,44
157,106,5,44
158,107,5,44
159,108,5,44
160,109,5,44
161,110,5,44
162,111,5,44
163,112,5,44
164,114,5,44
165,116,5,44
166,117,5,44
167,118,5,44
168,119,5,44
169,120,5,44
170,121,5,44
171,122,5,44
172,123,5,44
173,124,5,44
174,125,5,44
175,126,5,44
176,128,5,44
177,129,5,5
178,130,5,5
179,131,5,5
180,132,5,5
181,133,5,5
182,134,5,5
183,135,5,5
184,136,5,5
185,137,5,5
193,142,7,2
194,143,14,
196,144,14,
198,145,14,
200,146,14,
202,147,14,
204,148,14,
206,149,14,
208,150,14,
210,151,14,
214,153,14,
216,156,25,
218,157,25,
220,159,14,
224,161,14,
230,164,25,
232,165,12,12
233,166,12,12
234,167,12,12
235,168,12,12
236,169,12,12
240,173,18,10
241,175,16,
245,177,16,
249,179,18,10
250,180,18,10
251,181,18,10
252,182,18,10
253,183,18,10
254,184,18,10
255,185,18,10
256,186,16,
258,187,16,
264,194,18,11
265,195,18,11
266,196,18,11
267,197,18,11
268,198,18,10
269,199,18,10
270,200,18,10
271,201,18,10
272,202,18,10
273,205,15,41
275,207,15,41
277,209,15,41
278,212,18,11
279,213,18,11
280,214,18,11
281,215,18,11
282,216,18,10
283,217,18,10
284,218,18,10
285,219,4,4
289,224,18,11
290,225,18,11
291,228,25,
293,229,25,
295,230,25,
297,231,25,
299,232,25,
301,233,25,
303,234,25,
305,235,22,
315,240,22,
325,245,25,
327,246,17,
329,247,17,
331,248,17,
333,249,17,
347,256,15,41
348,257,7,1
350,259,7,1
351,260,7,1
354,263,7,1
357,266,7,1
358,267,18,10
359,268,7,1
360,269,12,12
362,271,15,41
367,274,25,
368,274,10,
369,274,16,
370,274,22,
371,274,26,
372,274,17,
374,274,14,
377,278,12,12
378,278,12,13
380,279,12,12
381,279,12,13
383,280,5,45
384,281,5,45
385,282,5,45
386,283,5,45
387,284,5,45
388,285,5,45
389,286,5,45
390,287,5,45
391,288,5,45
392,289,5,45
393,290,5,45
394,291,5,45
395,292,5,45
396,293,5,45
397,294,5,45
398,295,5,45
399,296,5,45
400,297,5,45
401,298,5,45
402,299,5,45
403,300,5,45
404,301,5,45
405,302,5,45
406,303,5,45
407,304,5,45
408,305,5,45
409,306,5,45
410,307,5,45
411,308,5,45
412,309,5,45
413,310,5,45
414,311,5,45
415,312,5,45
416,313,5,45
417,314,5,45
418,315,5,45
419,316,5,45
420,317,5,45
421,318,5,45
422,319,5,45
423,320,5,45
424,321,5,45
425,322,5,45
426,323,5,45
427,324,5,45
428,325,5,45
429,326,5,45
430,327,5,45
431,328,5,45
432,329,5,45
433,330,5,45
434,331,5,45
435,332,5,45
436,333,5,45
437,334,5,45
438,335,5,45
439,336,5,45
440,337,5,45
441,338,5,45
442,339,5,45
443,340,5,45
444,341,5,45
445,342,5,45
446,343,5,45
447,344,5,45
448,345,5,45
449,346,5,45
450,347,5,45
451,348,5,45
452,349,5,45
453,350,5,45
454,351,5,45
455,372,10,
457,373,10,
459,374,10,
463,376,10,
465,377,10,
467,378,5,6
468,379,5,6
469,380,5,6
470,381,5,6
471,382,5,6
472,383,5,6
473,384,5,6
474,385,5,6
475,387,5,6
476,388,5,6
477,389,7,2
478,390,5,6
479,391,5,6
480,392,5,6
481,393,5,6
482,394,5,6
483,395,5,6
484,396,5,6
485,397,5,6
486,398,5,6
487,399,5,6
488,400,5,6
489,401,7,2
490,403,5,6
491,404,5,6
492,406,5,6
493,407,5,6
494,408,5,6
495,409,5,6
496,410,5,6
497,411,5,6
498,412,5,6
499,413,5,6
500,414,5,6
501,415,5,6
502,416,5,6
503,417,5,6
504,418,5,6
505,419,5,6
506,420,5,6
507,421,5,6
508,422,5,6
509,423,5,6
510,424,5,6
511,425,5,53
512,426,5,53
513,427,5,53
514,428,5,53
515,429,5,53
516,430,5,53
517,431,5,53
518,432,5,53
519,433,5,53
520,434,5,53
521,435,5,53
522,436,5,53
523,437,5,53
524,438,5,53
525,439,5,53
526,440,5,53
527,441,5,53
528,442,5,53
529,443,5,53
530,444,5,53
531,445,5,53
532,446,5,53
533,447,5,53
534,448,5,53
535,449,5,53
536,450,5,53
537,451,5,53
538,452,5,53
539,453,5,53
540,454,5,53
541,455,5,53
542,456,5,53
543,457,5,53
544,458,5,53
545,459,5,53
546,460,5,53
547,461,5,53
548,462,5,53
549,463,5,53
550,464,5,53
551,465,5,53
552,466,5,53
553,467,5,53
554,468,5,53
555,469,5,53
556,470,5,53
557,471,5,53
558,472,5,53
559,473,5,53
560,474,5,53
561,475,5,53
562,476,5,53
563,477,5,53
564,478,5,53
565,479,5,53
566,480,5,53
567,481,5,53
568,482,5,53
569,483,5,53
570,484,16,
572,484,4,3
573,484,5,5
574,485,5,
576,485,5,5
577,486,5,
578,486,18,
580,486,5,6
581,486,5,5
582,486,18,9
583,486,18,11
584,487,25,
585,487,10,
587,488,4,3
588,489,18,7
589,490,14,
592,492,18,9
593,493,18,9
594,494,18,9
595,495,18,9
596,496,3,37
597,497,3,37
598,498,3,37
599,499,3,37
600,500,3,37
601,501,4,3
602,502,4,3
