platformkeywordid,platformsnaquestionid
47,79
48,79
57,79
45,80
46,80
49,80
45,81
46,81
52,81
85,82
92,82
193,83
335,83
336,83
182,84
183,84
186,84
188,84
183,85
188,85
339,86
182,87
137,88
138,88
139,88
329,88
139,89
141,89
328,89
137,90
139,90
141,90
143,90
328,90
139,91
141,91
328,91
137,92
138,92
139,92
329,92
85,93
87,93
92,93
85,94
86,94
88,94
91,94
85,95
86,95
91,95
85,96
86,96
88,96
91,96
92,96
85,97
88,97
91,97
85,98
88,98
91,98
85,100
88,100
91,100
85,101
91,101
92,101
3,102
317,102
317,104
317,108
317,112
3,113
317,113
5,114
8,117
317,117
5,118
317,118
318,118
8,120
317,120
8,121
317,121
114,122
115,122
116,122
116,123
121,123
122,123
114,124
115,124
116,124
121,124
114,125
115,125
116,125
121,125
122,125
114,126
115,126
116,126
117,126
118,127
119,127
120,127
121,128
122,128
123,128
124,128
125,128
114,129
115,129
116,129
116,130
122,130
123,130
114,131
116,131
122,131
123,131
121,132
122,132
123,132
119,133
122,133
123,133
116,134
122,134
123,134
114,135
115,135
116,135
117,135
121,135
114,136
115,136
116,136
114,137
116,137
121,137
122,137
116,138
121,138
122,138
123,138
116,139
121,139
122,139
123,139
124,139
116,140
121,140
122,140
123,140
114,141
115,141
116,141
123,141
85,142
88,142
91,142
87,143
88,143
90,143
91,143
86,144
88,144
90,144
91,144
85,145
88,145
92,145
200,146
85,147
88,147
92,147
97,148
98,148
265,148
428,148
177,149
178,149
181,149
226,150
257,150
177,151
178,151
181,151
177,152
178,152
181,152
262,152
97,153
265,153
177,154
178,154
181,154
261,154
177,155
178,155
262,155
202,156
203,156
379,156
201,157
202,157
201,158
202,159
203,159
204,159
379,159
201,160
202,160
203,160
201,161
202,161
203,161
205,162
379,162
380,163
381,163
382,163
383,163
200,164
203,164
202,165
205,165
177,166
181,166
202,167
379,167
202,168
203,168
202,169
386,169
202,170
232,171
380,172
382,172
233,173
232,174
360,174
360,175
99,176
428,176
45,177
46,177
53,177
45,178
49,178
50,178
51,178
45,179
49,179
52,179
49,180
52,180
53,180
47,181
45,182
49,182
50,182
51,182
45,183
49,183
50,183
51,183
45,184
47,184
57,184
49,185
52,185
53,185
45,186
46,186
46,187
424,187
45,188
46,188
45,189
46,189
422,189
54,190
54,191
104,192
106,192
107,192
49,193
52,193
55,193
55,194
424,194
49,195
52,195
55,195
61,195
264,195
49,196
52,196
55,196
47,197
48,197
57,197
56,198
58,198
59,198
63,198
395,198
58,199
59,199
63,199
56,200
58,200
59,200
63,200
55,201
56,201
58,201
63,201
45,202
46,202
49,202
58,203
63,203
58,204
63,204
58,205
63,205
58,206
63,206
58,207
63,207
55,208
56,208
58,208
59,208
56,209
58,209
45,210
62,211
62,212
137,215
138,215
139,215
329,215
137,216
138,216
139,216
329,216
137,217
138,217
139,217
329,217
137,218
140,218
137,219
139,219
141,219
328,219
137,220
140,220
137,221
141,221
328,221
137,222
138,222
139,222
143,222
329,222
137,223
138,223
139,223
329,223
137,224
138,224
139,224
329,224
137,225
138,225
139,225
329,225
137,226
140,226
137,227
138,227
139,227
329,227
139,228
141,228
143,228
328,228
139,229
141,229
328,229
137,230
138,230
