platformmaterialid,platformkeywordid
9,183
9,185
20,109
21,85
22,85
24,85
24,92
25,85
26,85
27,85
28,85
29,85
30,85
31,138
31,139
31,140
32,138
32,139
32,140
33,138
33,139
33,140
34,138
34,139
34,140
34,141
34,143
35,138
36,138
36,139
36,140
36,141
38,2
38,6
39,5
39,8
40,5
41,5
41,6
42,5
43,5
45,5
46,2
46,5
47,5
47,6
48,137
48,138
48,139
48,142
49,137
49,138
49,139
49,140
49,141
50,137
50,138
50,139
50,140
50,141
51,137
51,138
51,139
51,140
51,141
52,114
52,115
52,116
52,117
52,118
52,119
52,120
52,121
52,122
52,123
52,124
52,125
54,114
54,115
54,116
54,117
54,118
54,121
54,122
54,123
54,124
55,116
55,121
56,122
56,123
66,166
74,249
74,250
79,249
79,250
80,249
80,250
81,249
81,250
82,249
82,250
83,249
83,250
84,249
84,251
86,249
86,250
87,249
87,250
88,249
88,251
89,249
89,251
90,249
90,251
90,254
91,249
91,251
92,249
92,251
93,249
93,251
95,249
95,254
96,249
96,252
97,249
97,252
98,249
98,252
99,249
99,253
100,249
100,253
101,249
101,253
102,249
102,253
103,249
103,255
104,249
104,255
105,249
105,255
106,249
106,255
107,249
107,255
108,249
108,255
109,249
109,255
110,249
110,256
111,249
111,256
112,249
112,256
114,249
114,256
116,249
116,256
117,249
117,256
118,249
118,256
119,249
119,256
120,249
120,256
121,249
121,251
122,249
122,252
123,249
123,253
124,249
124,255
125,249
125,256
126,249
126,255
128,249
128,251
129,102
130,103
130,107
131,105
132,101
133,104
134,106
135,103
136,101
137,101
137,102
137,103
142,6
143,45
143,46
143,47
143,48
143,49
143,50
143,51
143,52
143,53
143,54
143,55
144,47
144,48
144,57
145,47
145,49
145,51
145,52
145,53
145,55
145,61
146,58
146,59
146,60
146,63
147,56
147,58
148,58
148,59
149,62
150,56
150,58
150,63
151,55
151,56
151,63
153,49
153,52
153,61
153,264
156,72
156,73
157,72
157,73
157,74
159,58
161,58
161,63
164,71
165,166
165,170
166,166
167,166
168,166
168,167
168,169
169,167
169,169
169,170
169,172
173,151
173,155
175,201
177,205
179,146
179,152
180,145
181,146
182,146
182,147
182,148
183,147
183,151
183,155
184,151
184,152
185,151
185,153
185,154
186,202
187,202
187,204
194,157
195,161
195,162
196,159
196,160
197,158
198,151
199,148
200,146
200,148
201,149
201,150
202,147
205,233
207,233
209,232
212,157
212,165
213,157
213,163
214,157
214,163
215,157
215,164
215,165
216,146
216,151
216,152
217,153
217,154
218,153
218,154
219,97
219,98
224,156
224,157
225,159
225,160
228,66
228,70
228,71
229,65
229,66
230,64
230,66
230,68
230,71
231,66
231,69
231,70
232,66
232,69
232,70
233,64
234,64
234,66
234,70
235,75
240,79
245,70
245,71
246,43
247,36
247,44
248,41
249,36
249,41
256,232
257,9
257,15
259,20
260,9
260,12
260,17
263,16
263,18
267,146
267,148
268,10
268,13
269,169
271,232
271,233
274,23
274,47
274,65
274,70
274,202
274,268
278,166
278,259
279,166
279,259
280,275
280,277
281,275
281,279
281,280
282,275
282,280
283,275
283,277
284,275
284,278
285,275
285,278
286,275
286,278
287,275
287,278
288,275
288,277
289,275
289,278
289,279
290,275
290,278
290,279
291,275
291,277
291,279
292,275
292,278
292,279
293,275
293,277
293,279
294,275
294,277
294,279
295,275
295,278
295,279
296,275
296,279
296,280
297,275
297,277
297,279
298,275
298,278
298,279
299,275
299,280
300,275
300,280
301,275
301,280
302,275
302,280
303,275
303,277
303,280
304,275
304,277
305,275
305,278
306,275
306,277
306,279
307,275
307,280
308,275
308,277
309,275
309,279
309,280
310,275
310,280
311,275
311,280
312,275
312,280
313,275
313,280
314,275
314,280
315,275
315,277
316,275
316,279
316,280
317,275
317,279
317,280
318,275
318,280
319,275
319,280
320,275
320,280
321,275
321,280
322,275
322,280
323,275
323,280
324,275
324,280
325,275
325,280
326,275
326,280
327,275
327,277
327,279
328,275
328,279
328,280
329,275
329,279
329,280
330,275
330,277
331,275
331,277
332,275
332,277
333,275
333,277
334,275
334,277
334,279
335,275
335,277
335,279
336,275
336,277
336,279
337,275
337,277
337,279
338,275
338,277
339,275
339,277
340,275
340,278
341,275
341,278
342,275
342,278
343,275
343,278
344,275
344,278
345,275
345,278
345,279
346,275
346,278
346,279
347,275
347,278
347,279
348,275
348,278
348,279
349,275
349,278
350,275
350,278
351,275
351,278
372,33
373,25
373,31
373,310
376,25
376,31
376,32
376,310
377,23
377,24
377,25
377,26
377,310
377,314
378,108
378,111
378,112
379,108
379,111
380,108
380,113
381,109
381,110
382,108
382,112
383,108
383,111
384,108
384,110
384,113
385,108
385,112
385,221
387,108
387,113
388,108
388,113
389,5
389,7
390,108
390,111
391,108
391,110
391,113
392,108
392,113
393,109
393,111
394,108
394,113
395,109
395,111
396,108
396,109
397,109
398,109
398,111
399,109
399,111
400,108
400,110
400,113
401,3
401,4
401,5
403,108
403,110
403,113
404,108
404,110
404,113
406,108
406,221
407,108
407,221
408,108
408,112
409,108
409,110
409,113
410,108
410,113
411,108
411,110
411,113
412,108
412,221
413,108
413,112
414,108
414,113
415,108
415,111
416,108
416,112
417,108
417,221
418,108
418,111
419,108
419,110
419,113
420,108
420,111
421,108
421,112
422,108
422,110
422,112
423,108
423,221
424,109
425,295
425,307
426,295
426,307
427,295
427,307
428,307
429,307
430,307
431,307
432,295
432,307
433,295
433,307
434,307
435,307
436,307
437,307
438,307
439,307
440,307
441,307
442,307
443,307
444,298
444,308
445,298
445,308
446,297
446,308
447,298
447,308
448,297
448,308
449,297
449,308
450,297
450,308
451,298
451,308
452,298
452,308
453,297
453,308
454,298
454,308
455,298
455,308
456,298
456,308
457,298
457,308
458,307
459,307
460,307
461,307
462,307
463,307
464,307
465,307
466,307
467,297
467,308
468,297
468,308
469,297
469,308
470,298
470,308
471,297
471,308
472,308
473,297
473,308
474,296
475,296
476,296
477,296
478,296
479,296
480,296
481,296
482,296
484,205
484,87
484,105
484,200
484,92
484,104
485,102
486,221
486,162
486,159
486,109
487,23
488,85
488,92
489,117
490,49
490,52
490,53
490,46
490,55
490,45
490,50
490,51
492,138
493,138
494,138
494,141
495,263
495,138
495,141
496,183
496,184
496,185
497,182
498,183
498,184
498,185
500,188
500,186
500,182
501,85
502,90
503,265
503,97
504,85
505,5
506,2
506,5
507,5
508,6
509,132
509,127
509,129
510,132
510,127
510,129
511,127
511,128
512,127
512,129
513,133
513,127
513,128
514,26
514,24
514,25
514,33
514,23
515,28
515,29
515,33
515,27
515,32
516,26
516,28
516,24
516,33
516,23
517,26
517,24
517,25
517,23
518,30
518,24
518,23
519,30
520,177
520,176
520,181
521,176
522,232
522,231
522,234
522,233
523,200
524,202
525,182
526,182
527,201
528,201
529,200
530,78
530,82
531,122
531,123
532,120
532,118
533,114
533,116
534,122
534,123
535,264
536,47
536,48
536,45
536,57
537,58
538,56
538,58
539,103
539,107
540,101
541,103
541,107
542,103
542,107
543,250
543,249
544,254
544,250
544,249
545,249
545,253
545,105
546,249
546,253
547,254
547,249
548,178
548,177
548,176
548,261
548,181
549,178
549,177
549,176
549,261
549,181
550,5
551,257
552,174
552,169
552,166
553,168
553,166
554,166
554,173
556,39
556,41
557,39
557,41
558,44
558,38
559,36
559,38
560,36
560,37
560,35
561,9
562,16
563,10
564,15
565,15
565,21
566,17
566,22
567,73
567,74
567,71
568,65
568,66
568,64
569,69
569,66
570,70
570,71
570,66
571,70
571,71
572,158
573,165
574,161
574,164
574,162
575,157
575,156
576,151
576,152
576,146
577,146
578,149
578,150
578,148
579,149
579,150
580,161
580,162
580,159
580,160
581,151
581,152
582,274
583,178
583,177
583,261
583,267
583,274
584,178
584,177
584,176
584,274
585,178
585,177
586,178
586,177
586,261
586,274
587,178
587,177
587,261
587,267
587,274
592,280
592,275
595,280
595,279
596,295
596,297
596,307
597,298
597,296
598,20
599,47
599,48
600,138
601,138
602,138
605,139
605,138
605,140
605,141
607,137
608,65
608,70
608,66
609,70
609,64
610,72
610,68
611,65
611,70
611,69
611,66
614,111
615,108
615,109
616,108
618,110
618,108
618,113
619,104
620,105
621,105
622,91
622,85
622,88
623,87
623,85
623,92
624,86
624,87
624,92
625,87
625,85
625,92
626,5
627,5
628,6
629,6
630,103
630,107
631,49
